file,line,module,direct_schema_references,expression,status
lua/wanxiang/auto_phrase.lua,86,auto_phrase,['wanxiang_english'],"config:get_bool(""add_user_dict/enable_auto_phrase"") or false",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/auto_phrase.lua,88,auto_phrase,['wanxiang_english'],"config:get_bool(""add_user_dict/enable_user_dict"") or false",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/auto_phrase.lua,206,auto_phrase,['wanxiang_english'],"local delimiter = config:get_string(""speller/delimiter"") or "" '""",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/context_reorder.lua,134,context_reorder,"['wanxiang_t9', 'wanxiang_t9i']","local timeout = config:get_int(""context_reorder/context_timeout"")",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/context_reorder.lua,135,context_reorder,"['wanxiang_t9', 'wanxiang_t9i']","local fallback = config:get_bool(""context_reorder/enable_fallback_reorder"")",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/context_reorder.lua,141,context_reorder,"['wanxiang_t9', 'wanxiang_t9i']","local classifier_node = config:get_item(""context_reorder/custom_classifiers"")",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/context_reorder.lua,146,context_reorder,"['wanxiang_t9', 'wanxiang_t9i']","local classifier_list = config:get_list(""context_reorder/custom_classifiers"")",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/context_reorder.lua,150,context_reorder,"['wanxiang_t9', 'wanxiang_t9i']","if value then classifier_text = classifier_text .. (value:get_string() or """") end",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/context_reorder.lua,153,context_reorder,"['wanxiang_t9', 'wanxiang_t9i']","classifier_text = config:get_string(""context_reorder/custom_classifiers"") or """"",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/context_reorder.lua,221,context_reorder,"['wanxiang_t9', 'wanxiang_t9i']","local db_name = config:get_string(""context_reorder/db_name"") or ""context_reorder""",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/context_reorder.lua,374,context_reorder,"['wanxiang_t9', 'wanxiang_t9i']",if not ctx:get_option(OPTION_NAME) then,static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/context_reorder.lua,473,context_reorder,"['wanxiang_t9', 'wanxiang_t9i']",if not ctx:get_option(OPTION_NAME) then return end,static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/context_reorder.lua,526,context_reorder,"['wanxiang_t9', 'wanxiang_t9i']",if not ctx:get_option(OPTION_NAME) then,static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/context_reorder.lua,713,context_reorder,"['wanxiang_t9', 'wanxiang_t9i']",if not ctx:get_option(OPTION_NAME) then,static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/input_statistics.lua,76,input_statistics,"['wanxiang_lite', 'wanxiang_t9', 'wanxiang_t9i']","local configured = config:get_string(""input_stats/device_id"")",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/input_statistics.lua,581,input_statistics,"['wanxiang_lite', 'wanxiang_t9', 'wanxiang_t9i']","local configured = env.engine.schema.config:get_list(""input_stats/titles"")",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/input_statistics.lua,764,input_statistics,"['wanxiang_lite', 'wanxiang_t9', 'wanxiang_t9i']","return math.max(minimum, math.min(maximum, config:get_int(key) or default))",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/input_statistics.lua,770,input_statistics,"['wanxiang_lite', 'wanxiang_t9', 'wanxiang_t9i']","env.stats_db_name = config:get_string(""input_stats/db_name"") or ""stats""",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/input_statistics.lua,773,input_statistics,"['wanxiang_lite', 'wanxiang_t9', 'wanxiang_t9i']","env.continuous_gap_ms = bounded_int(config, ""input_stats/continuous_gap_ms"",",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/input_statistics.lua,775,input_statistics,"['wanxiang_lite', 'wanxiang_t9', 'wanxiang_t9i']","env.average_gap_ms = bounded_int(config, ""input_stats/average_gap_ms"",",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/input_statistics.lua,778,input_statistics,"['wanxiang_lite', 'wanxiang_t9', 'wanxiang_t9i']","""input_stats/minimum_average_session_ms"",",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/input_statistics.lua,781,input_statistics,"['wanxiang_lite', 'wanxiang_t9', 'wanxiang_t9i']","""input_stats/minimum_average_total_ms"",",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/input_statistics.lua,784,input_statistics,"['wanxiang_lite', 'wanxiang_t9', 'wanxiang_t9i']","""input_stats/max_speed_commit_length"",",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/input_statistics.lua,787,input_statistics,"['wanxiang_lite', 'wanxiang_t9', 'wanxiang_t9i']","""input_stats/speed_history_days"", 30, 1, 365)",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/input_statistics.lua,799,input_statistics,"['wanxiang_lite', 'wanxiang_t9', 'wanxiang_t9i']","local_total=config:get_string(""input_stats/triggers/local_total"") or ""/btj"",",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/input_statistics.lua,800,input_statistics,"['wanxiang_lite', 'wanxiang_t9', 'wanxiang_t9i']","today=config:get_string(""input_stats/triggers/today"") or ""/rtj"",",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/input_statistics.lua,801,input_statistics,"['wanxiang_lite', 'wanxiang_t9', 'wanxiang_t9i']","week=config:get_string(""input_stats/triggers/week"") or ""/ztj"",",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/input_statistics.lua,802,input_statistics,"['wanxiang_lite', 'wanxiang_t9', 'wanxiang_t9i']","month=config:get_string(""input_stats/triggers/month"") or ""/ytj"",",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/input_statistics.lua,803,input_statistics,"['wanxiang_lite', 'wanxiang_t9', 'wanxiang_t9i']","year=config:get_string(""input_stats/triggers/year"") or ""/ntj"",",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/input_statistics.lua,804,input_statistics,"['wanxiang_lite', 'wanxiang_t9', 'wanxiang_t9i']","total=config:get_string(""input_stats/triggers/total"") or ""/tj"",",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/input_statistics.lua,805,input_statistics,"['wanxiang_lite', 'wanxiang_t9', 'wanxiang_t9i']","history=config:get_string(""input_stats/triggers/history"") or ""/htj"",",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/key_binder.lua,160,key_binder,"['wanxiang_lite', 'wanxiang_t9', 'wanxiang_t9i']",local actions = parse_sequence(send_sequence:get_string()),static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/key_binder.lua,165,key_binder,"['wanxiang_lite', 'wanxiang_t9', 'wanxiang_t9i']",local match_pattern = match and match:get_string() or nil,static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/key_binder.lua,185,key_binder,"['wanxiang_lite', 'wanxiang_t9', 'wanxiang_t9i']","accept = accept and KeyEvent(accept:get_string()) or nil,",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/key_binder.lua,196,key_binder,"['wanxiang_lite', 'wanxiang_t9', 'wanxiang_t9i']","local bindings = env.engine.schema.config:get_list(""key_binder/bindings"")",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/key_binder.lua,205,key_binder,"['wanxiang_lite', 'wanxiang_t9', 'wanxiang_t9i']",local value = item:get_map(),static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/key_binder.lua,232,key_binder,"['wanxiang_lite', 'wanxiang_t9', 'wanxiang_t9i']","context:set_option(name, not context:get_option(name))",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/number_conversion.lua,534,number_conversion,"['wanxiang_lite', 'wanxiang_t9', 'wanxiang_t9i']","local pattern = env.engine.schema.config:get_string(""recognizer/patterns/number"")",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/random_tools.lua,3,random_tools,['wanxiang_lite'],-- 配置项均从 random_tools/... 读取,static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/random_tools.lua,387,random_tools,['wanxiang_lite'],local value = config:get_string(path),static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/random_tools.lua,459,random_tools,['wanxiang_lite'],"config, ""random_tools/uuid"", DEFAULT_UUID_CODE, false",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/random_tools.lua,462,random_tools,['wanxiang_lite'],"config, ""random_tools/uuid7"", DEFAULT_UUID7_CODE, false",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/random_tools.lua,465,random_tools,['wanxiang_lite'],"config, ""random_tools/ulid"", DEFAULT_ULID_CODE, false",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/random_tools.lua,468,random_tools,['wanxiang_lite'],"config, ""random_tools/password"", DEFAULT_PASSWORD_CODE, false",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/random_tools.lua,471,random_tools,['wanxiang_lite'],"config, ""random_tools/password_special"", DEFAULT_PASSWORD_SPECIAL_CODE, false",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/random_tools.lua,475,random_tools,['wanxiang_lite'],"config:get_string(""random_tools/password_lengths"")",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/random_tools.lua,480,random_tools,['wanxiang_lite'],"config, ""random_tools/chars/upper"", DEFAULT_UPPER, true",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/random_tools.lua,483,random_tools,['wanxiang_lite'],"config, ""random_tools/chars/lower"", DEFAULT_LOWER, true",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/random_tools.lua,486,random_tools,['wanxiang_lite'],"config, ""random_tools/chars/digit"", DEFAULT_DIGIT, true",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/random_tools.lua,489,random_tools,['wanxiang_lite'],"config, ""random_tools/chars/special"", DEFAULT_SPECIAL, true",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/shijian.lua,1882,shijian,"['wanxiang_lite', 'wanxiang_t9', 'wanxiang_t9i']","local custom_formats = config:get_list(""date_formats"")",static candidate; dynamic paths and internal values require consumer review
lua/wanxiang/shijian.lua,1886,shijian,"['wanxiang_lite', 'wanxiang_t9', 'wanxiang_t9i']",local format_str = custom_formats:get_value_at(i - 1):get_string(),static candidate; dynamic paths and internal values require consumer review
